"reg" "dis" "con" "N1" "ward" "N2"
"KATAVI" "WILAYA YA MPANDA" "WILAYA YA MLELE" "3" "UTENDE" 924
"KATAVI" "WILAYA YA MPANDA" "WILAYA YA MLELE" "4" "INYONGA" 925
"KATAVI" "WILAYA YA MPANDA" "WILAYA YA MLELE" "5" "KAMSISISI" 926
"KATAVI" "WILAYA YA MPANDA" "WILAYA YA MLELE" "6" "NSENKWA" 927
"KATAVI" "WILAYA YA MPIMBWE" "KAVUU" "1" "MAMBA" 928
"KATAVI" "WILAYA YA MPIMBWE" "KAVUU" "2" "KASANSA" 929
"KATAVI" "WILAYA YA MPIMBWE" "KAVUU" "3" "MAJIMOTO" 930
"KATAVI" "WILAYA YA MPIMBWE" "KAVUU" "4" "MWAMAPULI" 931
"KATAVI" "WILAYA YA MPIMBWE" "KAVUU" "5" "CHAMALENDI" 932
"KATAVI" "WILAYA YA MPIMBWE" "KAVUU" "6" "KIBAONI" 933
"KATAVI" "WILAYA YA MPIMBWE" "KAVUU" "7" "USEVYA" 934
"KATAVI" "WILAYA YA MPIMBWE" "KAVUU" "8" "IKUBA" 935
"KATAVI" "WILAYA YA MPIMBWE" "KAVUU" "9" "MBEDE" 936
"KATAVI" "WILAYA YA NSIMBO" "NSIMBO" "1" "NSIMBO" 937
"KATAVI" "WILAYA YA NSIMBO" "NSIMBO" "2" "KAPALALA" 938
"KATAVI" "WILAYA YA NSIMBO" "NSIMBO" "3" "MTAPENDA" 939
"KATAVI" "WILAYA YA NSIMBO" "NSIMBO" "4" "MACHIMBONI" 940
"KATAVI" "WILAYA YA NSIMBO" "NSIMBO" "5" "IBINDI" 941
"KATAVI" "WILAYA YA NSIMBO" "NSIMBO" "6" "ITENKA" 942
"KATAVI" "WILAYA YA NSIMBO" "NSIMBO" "7" "SITALIKE" 943
"KATAVI" "WILAYA YA NSIMBO" "NSIMBO" "8" "URWIRA" 944
"KATAVI" "WILAYA YA NSIMBO" "NSIMBO" "9" "UGALLA" 945
"KATAVI" "WILAYA YA NSIMBO" "NSIMBO" "10" "LITAPUNGA" 946
"KATAVI" "WILAYA YA NSIMBO" "NSIMBO" "11" "KANOGE" 947
"KATAVI" "WILAYA YA NSIMBO" "NSIMBO" "12" "KATUMBA" 948
"KIGOMA" "MANISPAA KIGOMA/UJIJI" "KIGOMA MJINI" "1" "BUSINDE" 949
"KIGOMA" "MANISPAA KIGOMA/UJIJI" "KIGOMA MJINI" "2" "GUNGU" 950
"KIGOMA" "MANISPAA KIGOMA/UJIJI" "KIGOMA MJINI" "3" "KAGERA" 951
"KIGOMA" "MANISPAA KIGOMA/UJIJI" "KIGOMA MJINI" "4" "KASIMBU" 952
"KIGOMA" "MANISPAA KIGOMA/UJIJI" "KIGOMA MJINI" "5" "KASINGIRIMA" 953
"KIGOMA" "MANISPAA KIGOMA/UJIJI" "KIGOMA MJINI" "6" "KIGOMA" 954
"KIGOMA" "MANISPAA KIGOMA/UJIJI" "KIGOMA MJINI" "7" "KITONGONI" 955
"KIGOMA" "MANISPAA KIGOMA/UJIJI" "KIGOMA MJINI" "8" "MACHINJIONI" 956
"KIGOMA" "MANISPAA KIGOMA/UJIJI" "KIGOMA MJINI" "9" "MAJENGO" 957
"KIGOMA" "MANISPAA KIGOMA/UJIJI" "KIGOMA MJINI" "10" "MWANGA KASKAZINI" 958
"KIGOMA" "MANISPAA KIGOMA/UJIJI" "KIGOMA MJINI" "11" "MWANGA KUSINI" 959
"KIGOMA" "MANISPAA KIGOMA/UJIJI" "KIGOMA MJINI" "12" "RUBUGA" 960
"KIGOMA" "MANISPAA KIGOMA/UJIJI" "KIGOMA MJINI" "13" "RUSIMBI" 961
"KIGOMA" "MANISPAA KIGOMA/UJIJI" "KIGOMA MJINI" "14" "BUHANDA" 962
"KIGOMA" "MANISPAA KIGOMA/UJIJI" "KIGOMA MJINI" "15" "KIBIRIZI" 963
"KIGOMA" "MANISPAA KIGOMA/UJIJI" "KIGOMA MJINI" "16" "BANGWE" 964
"KIGOMA" "MANISPAA KIGOMA/UJIJI" "KIGOMA MJINI" "17" "KIPAMPA" 965
"KIGOMA" "MANISPAA KIGOMA/UJIJI" "KIGOMA MJINI" "18" "KATUBUKA" 966
"KIGOMA" "MANISPAA KIGOMA/UJIJI" "KIGOMA MJINI" "19" "BUZEBAZEBA" 967
"KIGOMA" "WILAYA YA BUHIGWE" "BUHIGWE" "1" "BUHIGWE" 968
"KIGOMA" "WILAYA YA BUHIGWE" "BUHIGWE" "2" "JANDA" 969
"KIGOMA" "WILAYA YA BUHIGWE" "BUHIGWE" "3" "KAJANA" 970
"KIGOMA" "WILAYA YA BUHIGWE" "BUHIGWE" "4" "KILELEMA" 971
"KIGOMA" "WILAYA YA BUHIGWE" "BUHIGWE" "5" "MUHINDA" 972
"KIGOMA" "WILAYA YA BUHIGWE" "BUHIGWE" "6" "MUNANILA" 973
"KIGOMA" "WILAYA YA BUHIGWE" "BUHIGWE" "7" "MUNYEGERA" 974
"KIGOMA" "WILAYA YA BUHIGWE" "BUHIGWE" "8" "MUYAMA" 975
"KIGOMA" "WILAYA YA BUHIGWE" "BUHIGWE" "9" "NYAMUGALI" 976
"KIGOMA" "WILAYA YA BUHIGWE" "BUHIGWE" "10" "RUSABA" 977
"KIGOMA" "WILAYA YA BUHIGWE" "BUHIGWE" "11" "MWAYAYA" 978
"KIGOMA" "WILAYA YA BUHIGWE" "BUHIGWE" "12" "BIHARU" 979
"KIGOMA" "WILAYA YA BUHIGWE" "BUHIGWE" "13" "MUGERA" 980
"KIGOMA" "WILAYA YA BUHIGWE" "BUHIGWE" "14" "KIBANDE" 981
"KIGOMA" "WILAYA YA BUHIGWE" "BUHIGWE" "15" "MUNZEZE" 982
"KIGOMA" "WILAYA YA BUHIGWE" "BUHIGWE" "16" "KINAZI" 983
"KIGOMA" "WILAYA YA BUHIGWE" "BUHIGWE" "17" "BUKUBA" 984
"KIGOMA" "WILAYA YA BUHIGWE" "BUHIGWE" "18" "MUBANGA" 985
"KIGOMA" "WILAYA YA BUHIGWE" "BUHIGWE" "19" "MKATANGA" 986
"KIGOMA" "WILAYA YA BUHIGWE" "BUHIGWE" "20" "KIBWIGWA" 987
"KIGOMA" "WILAYA YA KASULU" "KASULU" "1" "BUHORO" 988
"KIGOMA" "WILAYA YA KASULU" "KASULU" "2" "HERU SHINGO" 989
"KIGOMA" "WILAYA YA KASULU" "KASULU" "3" "KAGERANKANDA" 990
"KIGOMA" "WILAYA YA KASULU" "KASULU" "4" "KITAGATA" 991
"KIGOMA" "WILAYA YA KASULU" "KASULU" "5" "KITANGA" 992
"KIGOMA" "WILAYA YA KASULU" "KASULU" "6" "KWAGA" 993
"KIGOMA" "WILAYA YA KASULU" "KASULU" "7" "MUZYE" 994
"KIGOMA" "WILAYA YA KASULU" "KASULU" "8" "NYAKITONTO" 995
"KIGOMA" "WILAYA YA KASULU" "KASULU" "9" "NYAMIDAHO" 996
"KIGOMA" "WILAYA YA KASULU" "KASULU" "10" "NYAMNYUSI" 997
"KIGOMA" "WILAYA YA KASULU" "KASULU" "11" "RUNGWE MPYA" 998
"KIGOMA" "WILAYA YA KASULU" "KASULU" "12" "RUSESA" 999
"KIGOMA" "WILAYA YA KASULU" "KASULU" "13" "TITYE" 1000
"KIGOMA" "WILAYA YA KASULU" "KASULU" "14" "NYACHENDA" 1001
"KIGOMA" "WILAYA YA KASULU" "KASULU" "15" "KIGEMBE" 1002
"KIGOMA" "WILAYA YA KASULU" "KASULU" "16" "BUGAGA" 1003
"KIGOMA" "WILAYA YA KASULU" "KASULU" "17" "ASANTE NYERERE" 1004
"KIGOMA" "WILAYA YA KASULU" "KASULU" "18" "KURUGONGO" 1005
"KIGOMA" "WILAYA YA KASULU" "KASULU" "19" "SHUNGULIBA" 1006
"KIGOMA" "WILAYA YA KASULU" "KASULU" "20" "MAKERE" 1007
"KIGOMA" "WILAYA YA KASULU" "KASULU" "21" "KALELA" 1008
"KIGOMA" "MJI KASULU" "KASULU MJINI" "1" "KIGONDO" 1009
"KIGOMA" "MJI KASULU" "KASULU MJINI" "2" "MURUFITI" 1010
"KIGOMA" "MJI KASULU" "KASULU MJINI" "3" "MSAMBARA" 1011
"KIGOMA" "MJI KASULU" "KASULU MJINI" "4" "RUHITA" 1012
"KIGOMA" "MJI KASULU" "KASULU MJINI" "5" "MUHUNGA" 1013
"KIGOMA" "MJI KASULU" "KASULU MJINI" "6" "NYUMBIGWA" 1014
"KIGOMA" "MJI KASULU" "KASULU MJINI" "7" "MUGANZA" 1015
"KIGOMA" "MJI KASULU" "KASULU MJINI" "8" "KUMNYIKA" 1016
"KIGOMA" "MJI KASULU" "KASULU MJINI" "9" "KUMSENGA" 1017
"KIGOMA" "MJI KASULU" "KASULU MJINI" "10" "MURUBONA" 1018
"KIGOMA" "MJI KASULU" "KASULU MJINI" "11" "MURUSI" 1019
"KIGOMA" "MJI KASULU" "KASULU MJINI" "12" "MWILAVYA" 1020
"KIGOMA" "MJI KASULU" "KASULU MJINI" "13" "NYANSHA" 1021
"KIGOMA" "MJI KASULU" "KASULU MJINI" "14" "ERUJUU" 1022
"KIGOMA" "MJI KASULU" "KASULU MJINI" "15" "KIMOBWA" 1023
"KIGOMA" "WILAYA YA KAKONKO" "BUYUNGU" "1" "GWAMUMPU" 1024
"KIGOMA" "WILAYA YA KAKONKO" "BUYUNGU" "2" "KAKONKO" 1025
"KIGOMA" "WILAYA YA KAKONKO" "BUYUNGU" "3" "KASANDA" 1026
"KIGOMA" "WILAYA YA KAKONKO" "BUYUNGU" "4" "KASUNGA" 1027
"KIGOMA" "WILAYA YA KAKONKO" "BUYUNGU" "5" "MUGUNZU" 1028
"KIGOMA" "WILAYA YA KAKONKO" "BUYUNGU" "6" "MUHANGE" 1029
"KIGOMA" "WILAYA YA KAKONKO" "BUYUNGU" "7" "NYABIBUYE" 1030
"KIGOMA" "WILAYA YA KAKONKO" "BUYUNGU" "8" "NYAMTUKUZA" 1031
"KIGOMA" "WILAYA YA KAKONKO" "BUYUNGU" "9" "RUGENGE" 1032
"KIGOMA" "WILAYA YA KAKONKO" "BUYUNGU" "10" "KIZIGUZIGU" 1033
"KIGOMA" "WILAYA YA KAKONKO" "BUYUNGU" "11" "KATANGA" 1034
"KIGOMA" "WILAYA YA KAKONKO" "BUYUNGU" "12" "KANYONZA" 1035
"KIGOMA" "WILAYA YA KAKONKO" "BUYUNGU" "13" "GWARAMA" 1036
"KIGOMA" "WILAYA YA KIBONDO" "MUHAMBWE" "1" "BUNYAMBO" 1037
"KIGOMA" "WILAYA YA KIBONDO" "MUHAMBWE" "2" "BUSAGARA" 1038
"KIGOMA" "WILAYA YA KIBONDO" "MUHAMBWE" "3" "ITABA" 1039
"KIGOMA" "WILAYA YA KIBONDO" "MUHAMBWE" "4" "KIBONDO MJINI" 1040
"KIGOMA" "WILAYA YA KIBONDO" "MUHAMBWE" "5" "KITAHANA" 1041
"KIGOMA" "WILAYA YA KIBONDO" "MUHAMBWE" "6" "KIZAZI" 1042
"KIGOMA" "WILAYA YA KIBONDO" "MUHAMBWE" "7" "KUMSENGA" 1043
"KIGOMA" "WILAYA YA KIBONDO" "MUHAMBWE" "8" "MABAMBA" 1044
"KIGOMA" "WILAYA YA KIBONDO" "MUHAMBWE" "9" "MISEZERO" 1045
"KIGOMA" "WILAYA YA KIBONDO" "MUHAMBWE" "10" "MURUNGU" 1046
"KIGOMA" "WILAYA YA KIBONDO" "MUHAMBWE" "11" "RUGONGWE" 1047
"KIGOMA" "WILAYA YA KIBONDO" "MUHAMBWE" "12" "BUSUNZU" 1048
"KIGOMA" "WILAYA YA KIBONDO" "MUHAMBWE" "13" "BITARE" 1049
"KIGOMA" "WILAYA YA KIBONDO" "MUHAMBWE" "14" "RUSOHOKO" 1050
"KIGOMA" "WILAYA YA KIBONDO" "MUHAMBWE" "15" "KAGEZI" 1051
"KIGOMA" "WILAYA YA KIBONDO" "MUHAMBWE" "16" "MUKABUYE" 1052
"KIGOMA" "WILAYA YA KIBONDO" "MUHAMBWE" "17" "NYARUYOBA" 1053
"KIGOMA" "WILAYA YA KIBONDO" "MUHAMBWE" "18" "BITURANA" 1054
"KIGOMA" "WILAYA YA KIBONDO" "MUHAMBWE" "19" "KUMWAMBU" 1055
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KASKAZINI" "1" "BITALE" 1056
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KASKAZINI" "2" "KAGONGO" 1057
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KASKAZINI" "3" "KAGUNGA" 1058
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KASKAZINI" "4" "KALINZI" 1059
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KASKAZINI" "5" "MAHEMBE" 1060
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KASKAZINI" "6" "MATENDO" 1061
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KASKAZINI" "7" "MKIGO" 1062
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KASKAZINI" "8" "MUNGONYA" 1063
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KASKAZINI" "9" "MWAMGONGO" 1064
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KASKAZINI" "10" "MWANDIGA" 1065
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KASKAZINI" "11" "MKONGORO" 1066
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KASKAZINI" "12" "NKUNGWE" 1067
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KASKAZINI" "13" "KIDAHWE" 1068
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KASKAZINI" "14" "NYARUBANDA" 1069
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KASKAZINI" "15" "ZIWANI" 1070
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KASKAZINI" "16" "SIMBO" 1071
"KIGOMA" "WILAYA YA UVINZA" "KIGOMA KUSINI" "1" "BUHINGU" 1072
"KIGOMA" "WILAYA YA UVINZA" "KIGOMA KUSINI" "2" "IGALULA" 1073
"KIGOMA" "WILAYA YA UVINZA" "KIGOMA KUSINI" "3" "ILAGALA" 1074
"KIGOMA" "WILAYA YA UVINZA" "KIGOMA KUSINI" "4" "KALYA" 1075
"KIGOMA" "WILAYA YA UVINZA" "KIGOMA KUSINI" "5" "KANDAGA" 1076
"KIGOMA" "WILAYA YA UVINZA" "KIGOMA KUSINI" "6" "MGANZA" 1077
"KIGOMA" "WILAYA YA UVINZA" "KIGOMA KUSINI" "7" "MTEGO WA NOTI" 1078
"KIGOMA" "WILAYA YA UVINZA" "KIGOMA KUSINI" "8" "NGURUKA" 1079
"KIGOMA" "WILAYA YA UVINZA" "KIGOMA KUSINI" "9" "SIGUNGA" 1080
"KIGOMA" "WILAYA YA UVINZA" "KIGOMA KUSINI" "10" "MWAKIZEGA" 1081
"KIGOMA" "WILAYA YA UVINZA" "KIGOMA KUSINI" "11" "SUNUKA" 1082
"KIGOMA" "WILAYA YA UVINZA" "KIGOMA KUSINI" "12" "UVINZA" 1083
"KIGOMA" "WILAYA YA UVINZA" "KIGOMA KUSINI" "13" "ITEBULA" 1084
"KIGOMA" "WILAYA YA UVINZA" "KIGOMA KUSINI" "14" "KAZURAMIMBA" 1085
"KIGOMA" "WILAYA YA UVINZA" "KIGOMA KUSINI" "15" "BASANZA" 1086
"KIGOMA" "WILAYA YA UVINZA" "KIGOMA KUSINI" "16" "HEREMBE" 1087
"KILIMANJARO" "WILAYA YA HAI" "HAI" "1" "MNADANI" 1088
"KILIMANJARO" "WILAYA YA HAI" "HAI" "2" "MACHAME KASKAZINI" 1089
"KILIMANJARO" "WILAYA YA HAI" "HAI" "3" "ROMU" 1090
"KILIMANJARO" "WILAYA YA HAI" "HAI" "4" "MACHAME MAGHARIBI" 1091
"KILIMANJARO" "WILAYA YA HAI" "HAI" "5" "MACHAME MASHARIKI" 1092
"KILIMANJARO" "WILAYA YA HAI" "HAI" "6" "MACHAME UROKI" 1093
"KILIMANJARO" "WILAYA YA HAI" "HAI" "7" "MASAMA KUSINI" 1094
"KILIMANJARO" "WILAYA YA HAI" "HAI" "8" "MASAMA MAGHARIBI" 1095
"KILIMANJARO" "WILAYA YA HAI" "HAI" "9" "MASAMA MASHARIKI" 1096
"KILIMANJARO" "WILAYA YA HAI" "HAI" "10" "MASAMA RUNDUGAI" 1097
"KILIMANJARO" "WILAYA YA HAI" "HAI" "11" "WERUWERU" 1098
"KILIMANJARO" "WILAYA YA HAI" "HAI" "12" "MACHAME NARUMU" 1099
"KILIMANJARO" "WILAYA YA HAI" "HAI" "13" "MASAMA KATI" 1100
"KILIMANJARO" "WILAYA YA HAI" "HAI" "14" "KIA" 1101
"KILIMANJARO" "WILAYA YA HAI" "HAI" "15" "BOMANNG'OMBE" 1102
"KILIMANJARO" "WILAYA YA HAI" "HAI" "16" "MUUNGANO" 1103
"KILIMANJARO" "WILAYA YA HAI" "HAI" "17" "BONDENI" 1104
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "1" "KATANGARA MRERE" 1105
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "2" "KELAMFUA MOKALA" 1106
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "3" "ALENI" 1107
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "4" "KENI MENGENI" 1108
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "5" "KIRONGO SAMANGA" 1109
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "6" "KIRWA KENI" 1110
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "7" "KISALE MSARANGA" 1111
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "8" "KITIRIMA" 1112
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "9" "MAHIDA" 1113
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "10" "MAKIIDI" 1114
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "11" "MAMSERA" 1115
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "12" "MENGWE" 1116
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "13" "MOTAMBURU KITENDENI" 1117
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "14" "MRAO KERYO" 1118
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "15" "NANJARA" 1119
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "16" "OLELE" 1120
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "17" "SHIMBI" 1121
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "18" "TARAKEA MOTAMBURU" 1122
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "19" "UBETU KAHE" 1123
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "20" "USHIRI IKUINI" 1124
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "21" "HOLILI" 1125
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "22" "NGOYONI" 1126
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "23" "MANDA" 1127
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "24" "MARANGU KITOWO" 1128
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "25" "REA" 1129
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "26" "CHALA" 1130
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "27" "SHIMBI" 1131
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "28" "KITIRIMA KINGACHI" 1132
"KILIMANJARO" "WILAYA YA SAME" "SAME MAGHARIBI" "1" "CHOME" 1133
"KILIMANJARO" "WILAYA YA SAME" "SAME MAGHARIBI" "2" "HEDARU" 1134
"KILIMANJARO" "WILAYA YA SAME" "SAME MAGHARIBI" "3" "KISIWANI" 1135
"KILIMANJARO" "WILAYA YA SAME" "SAME MAGHARIBI" "4" "MAKANYA" 1136
"KILIMANJARO" "WILAYA YA SAME" "SAME MAGHARIBI" "5" "MHEZI" 1137
"KILIMANJARO" "WILAYA YA SAME" "SAME MAGHARIBI" "6" "MSHEWA" 1138
"KILIMANJARO" "WILAYA YA SAME" "SAME MAGHARIBI" "7" "MSINDO" 1139
"KILIMANJARO" "WILAYA YA SAME" "SAME MAGHARIBI" "8" "MWEMBE" 1140
"KILIMANJARO" "WILAYA YA SAME" "SAME MAGHARIBI" "9" "NJORO" 1141
"KILIMANJARO" "WILAYA YA SAME" "SAME MAGHARIBI" "10" "RUVU" 1142
"KILIMANJARO" "WILAYA YA SAME" "SAME MAGHARIBI" "11" "SAME" 1143
"KILIMANJARO" "WILAYA YA SAME" "SAME MAGHARIBI" "12" "SUJI" 1144
"KILIMANJARO" "WILAYA YA SAME" "SAME MAGHARIBI" "13" "VUDEE" 1145
"KILIMANJARO" "WILAYA YA SAME" "SAME MAGHARIBI" "14" "MABILIONI" 1146
"KILIMANJARO" "WILAYA YA SAME" "SAME MAGHARIBI" "15" "VUMARI" 1147
"KILIMANJARO" "WILAYA YA SAME" "SAME MAGHARIBI" "16" "STESHENI" 1148
"KILIMANJARO" "WILAYA YA SAME" "SAME MAGHARIBI" "17" "KISIMA" 1149
"KILIMANJARO" "WILAYA YA SAME" "SAME MAGHARIBI" "18" "GAVAO SAWENI" 1150
"KILIMANJARO" "WILAYA YA SAME" "SAME MAGHARIBI" "19" "TAE" 1151
"KILIMANJARO" "WILAYA YA SAME" "SAME MAGHARIBI" "20" "BANGALALA" 1152
"KILIMANJARO" "WILAYA YA SAME" "SAME MASHARIKI" "1" "BENDERA" 1153
"KILIMANJARO" "WILAYA YA SAME" "SAME MASHARIKI" "2" "BOMBO" 1154
"KILIMANJARO" "WILAYA YA SAME" "SAME MASHARIKI" "3" "BWAMBO" 1155
"KILIMANJARO" "WILAYA YA SAME" "SAME MASHARIKI" "4" "KIHURIO" 1156
"KILIMANJARO" "WILAYA YA SAME" "SAME MASHARIKI" "5" "KIRANGARE" 1157
"KILIMANJARO" "WILAYA YA SAME" "SAME MASHARIKI" "6" "MAORE" 1158
"KILIMANJARO" "WILAYA YA SAME" "SAME MASHARIKI" "7" "MPINJI" 1159
"KILIMANJARO" "WILAYA YA SAME" "SAME MASHARIKI" "8" "MTII" 1160
"KILIMANJARO" "WILAYA YA SAME" "SAME MASHARIKI" "9" "MYAMBA" 1161
"KILIMANJARO" "WILAYA YA SAME" "SAME MASHARIKI" "10" "NDUNGU" 1162
"KILIMANJARO" "WILAYA YA SAME" "SAME MASHARIKI" "11" "VUJE" 1163
"KILIMANJARO" "WILAYA YA SAME" "SAME MASHARIKI" "12" "VUNTA" 1164
"KILIMANJARO" "WILAYA YA SAME" "SAME MASHARIKI" "13" "LUGULU" 1165
"KILIMANJARO" "WILAYA YA SAME" "SAME MASHARIKI" "14" "KALEMAWE" 1166
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI" "1" "BONDENI" 1167
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI" "2" "KALOLENI" 1168
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI" "3" "KARANGA" 1169
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI" "4" "SHIRIMATUNDA" 1170
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI" "5" "KIBORILONI" 1171
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI" "6" "KILIMANJARO" 1172
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI" "7" "KIUSA" 1173
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI" "8" "SOWETO" 1174
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI" "9" "KORONGONI" 1175
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI" "10" "LONGUO B" 1176
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI" "11" "MIEMBENI" 1177
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI" "12" "MAJENGO" 1178
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI" "13" "MAWENZI" 1179
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI" "14" "MJI MPYA" 1180
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI" "15" "NG'AMBO" 1181
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI" "16" "MSARANGA" 1182
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI" "17" "NJORO" 1183
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI" "18" "PASUA" 1184
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI" "19" "BOMA MBUZI" 1185
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI" "20" "MFUMUNI" 1186
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI" "21" "RAU" 1187
"KILIMANJARO" "WILAYA YA MOSHI" "MOSHI VIJIJINI" "1" "ARUSHA CHINI" 1188
"KILIMANJARO" "WILAYA YA MOSHI" "MOSHI VIJIJINI" "2" "KIBOSHO KATI" 1189
"KILIMANJARO" "WILAYA YA MOSHI" "MOSHI VIJIJINI" "3" "KIBOSHO MAGHARIBI" 1190
"KILIMANJARO" "WILAYA YA MOSHI" "MOSHI VIJIJINI" "4" "KIBOSHO MASHARIKI" 1191
"KILIMANJARO" "WILAYA YA MOSHI" "MOSHI VIJIJINI" "5" "KIMOCHI" 1192
"KILIMANJARO" "WILAYA YA MOSHI" "MOSHI VIJIJINI" "6" "KINDI" 1193
"KILIMANJARO" "WILAYA YA MOSHI" "MOSHI VIJIJINI" "7" "KIBOSHO KIRIMA" 1194
"KILIMANJARO" "WILAYA YA MOSHI" "MOSHI VIJIJINI" "8" "MABOGINI" 1195
"KILIMANJARO" "WILAYA YA MOSHI" "MOSHI VIJIJINI" "9" "MBOKOMU" 1196
"KILIMANJARO" "WILAYA YA MOSHI" "MOSHI VIJIJINI" "10" "KIBOSHO OKAONI" 1197
"KILIMANJARO" "WILAYA YA MOSHI" "MOSHI VIJIJINI" "11" "OLD MOSHI MAGHARIBI" 1198
"KILIMANJARO" "WILAYA YA MOSHI" "MOSHI VIJIJINI" "12" "OLD MOSHI MASHARIKI" 1199
"KILIMANJARO" "WILAYA YA MOSHI" "MOSHI VIJIJINI" "13" "URU KASKAZINI" 1200
"KILIMANJARO" "WILAYA YA MOSHI" "MOSHI VIJIJINI" "14" "URU KUSINI" 1201
"KILIMANJARO" "WILAYA YA MOSHI" "MOSHI VIJIJINI" "15" "URU MASHARIKI" 1202
"KILIMANJARO" "WILAYA YA MOSHI" "MOSHI VIJIJINI" "16" "URU SHIMBWE" 1203
"KILIMANJARO" "WILAYA YA MOSHI" "VUNJO" "1" "KAHE MAGHARIBI" 1204
"KILIMANJARO" "WILAYA YA MOSHI" "VUNJO" "2" "KAHE MASHARIKI" 1205
"KILIMANJARO" "WILAYA YA MOSHI" "VUNJO" "3" "KILEMA KASKAZINI" 1206
"KILIMANJARO" "WILAYA YA MOSHI" "VUNJO" "4" "KILEMA KATI" 1207
"KILIMANJARO" "WILAYA YA MOSHI" "VUNJO" "5" "KILEMA KUSINI" 1208
"KILIMANJARO" "WILAYA YA MOSHI" "VUNJO" "6" "KIRUAVUNJO KUSINI" 1209
"KILIMANJARO" "WILAYA YA MOSHI" "VUNJO" "7" "KIRUAVUNJO MAGHARIBI" 1210
