"region" "district" "const" "candidate" "party" "votes" "spltvotes" "perc"
"KASKAZINI PEMBA" "MICHEWENI" "KONDE" "SALUM NAFOO OMAR" "CCM" 715 215 11.16
"KASKAZINI PEMBA" "MICHEWENI" "KONDE" "HAMADI SALUMU KHAMISI" "CHADEMA" 125 215 1.95
"KASKAZINI PEMBA" "MICHEWENI" "KONDE" "SHOLO ALI SALUM" "NCCR-MAGEUZI" 86 215 1.34
"KASKAZINI PEMBA" "MICHEWENI" "MGOGONI" "KOMBO KHAMIS KOMBO" "CUF" 5214 238 82.53
"KASKAZINI PEMBA" "MICHEWENI" "MGOGONI" "MSELLEM RASHID MSELLEM" "CCM" 670 238 10.6
"KASKAZINI PEMBA" "MICHEWENI" "MGOGONI" "SLEYYUM JUMA SLEYYUM" "NCCR-MAGEUZI" 121 238 1.92
"KASKAZINI PEMBA" "MICHEWENI" "MGOGONI" "KOMBO JUMA SALEH" "CHADEMA" 61 238 0.97
"KASKAZINI PEMBA" "MICHEWENI" "MGOGONI" "SALIM SIYAH SALIM" "UDP" 14 238 0.22
"KASKAZINI PEMBA" "MICHEWENI" "MICHEWENI" "HAJI KHATIB KAI" "CUF" 4929 553 67.27
"KASKAZINI PEMBA" "MICHEWENI" "MICHEWENI" "KHAMIS JUMA OMARI" "CCM" 1375 553 18.77
"KASKAZINI PEMBA" "MICHEWENI" "MICHEWENI" "MOSE JUMA FAKI" "NCCR-MAGEUZI" 324 553 4.42
"KASKAZINI PEMBA" "MICHEWENI" "MICHEWENI" "KHATIBU KOMBO KHATIBU" "TADEA" 146 553 1.99
"KASKAZINI PEMBA" "MICHEWENI" "TUMBE" "HAMAD OMAR KOMBO" "CHADEMA" 5633 309 83.17
"KASKAZINI PEMBA" "MICHEWENI" "TUMBE" "RASHID ABDALLA KHAMIS" "CCM" 645 309 9.52
"KASKAZINI PEMBA" "MICHEWENI" "TUMBE" "RASHID ALI ABDALLAH" "CUF" 97 309 1.43
"KASKAZINI PEMBA" "MICHEWENI" "TUMBE" "ABDALLA YUSSUF HASSAN" "NCCR-MAGEUZI" 89 309 1.31
"KASKAZINI PEMBA" "WETE" "GANDO" "KHALIFA SULEIMAN KHALIFA" "CUF" 4588 227 74.5
"KASKAZINI PEMBA" "WETE" "GANDO" "HAJI FAKI JUMA" "CCM" 1096 227 17.8
"KASKAZINI PEMBA" "WETE" "GANDO" "HAMAD MWITUMBE MBAROUK" "CHADEMA" 142 227 2.31
"KASKAZINI PEMBA" "WETE" "GANDO" "ABDALLA ALI HEMED" "TLP" 105 227 1.71
"KASKAZINI PEMBA" "WETE" "KOJANI" "RASHID ALI OMARI" "CUF" 5185 243 84.43
"KASKAZINI PEMBA" "WETE" "KOJANI" "HAFIDHI SAIDI MOHAMMED" "CCM" 432 243 7.03
"KASKAZINI PEMBA" "WETE" "KOJANI" "SHAMIS HASSAN HASSAN" "UDP" 100 243 1.63
"KASKAZINI PEMBA" "WETE" "KOJANI" "HASSAN KOMBO HASSAN" "NCCR-MAGEUZI" 82 243 1.34
"KASKAZINI PEMBA" "WETE" "KOJANI" "MAKAME OTHUMANI HAMADI`" "AFP" 42 243 0.68
"KASKAZINI PEMBA" "WETE" "KOJANI" "SALIM SAID SULEIMAN" "CHADEMA" 35 243 0.57
"KASKAZINI PEMBA" "WETE" "KOJANI" "HAMIS FAKI MGAU" "NRA" 22 243 0.36
"KASKAZINI PEMBA" "WETE" "MTAMBWE" "KHAMIS SEIF ALI" "CCM" 4849 574 84.05
"KASKAZINI PEMBA" "WETE" "MTAMBWE" "SAID SULEIMAN SAID" "CUF" 346 574 6
"KASKAZINI PEMBA" "WETE" "OLE" "RAJAB MBAROUK MOHAMMED" "CUF" 5250 266 78.25
"KASKAZINI PEMBA" "WETE" "OLE" "MASOUD ALI MOHD" "CCM" 812 266 12.1
"KASKAZINI PEMBA" "WETE" "OLE" "SUWEID HAMAD MAKAME" "CHADEMA" 262 266 3.91
"KASKAZINI PEMBA" "WETE" "OLE" "BORA HAMAD OMAR" "NCCR-MAGEUZI" 52 266 0.78
"KASKAZINI PEMBA" "WETE" "OLE" "FATMA ZUBER ALI" "TLP" 42 266 0.63
"KASKAZINI PEMBA" "WETE" "OLE" "MASSOUDI OTHMAN HAMADI" "TADEA" 25 266 0.37
"KASKAZINI PEMBA" "WETE" "WETE" "MBAROUK SALIM ALI" "CUF" 4908 75 82.71
"KASKAZINI PEMBA" "WETE" "WETE" "ALI RASHID ALI" "CCM" 561 75 9.45
"KASKAZINI PEMBA" "WETE" "WETE" "MOHAMMED AMOUR ABDALLA" "CHADEMA" 346 75 5.83
"KASKAZINI PEMBA" "WETE" "WETE" "SEIF ABDALLAH SEIF" "TLP" 44 75 0.74
"KASKAZINI UNGUJA" "KASKAZINI A" "CHAANI" "ALI JUMA HAJI" "CCM" 5553 280 76.23
"KASKAZINI UNGUJA" "KASKAZINI A" "CHAANI" "KHAMIS SULEIMAN KOMBO" "CUF" 1328 280 18.23
"KASKAZINI UNGUJA" "KASKAZINI A" "CHAANI" "HUSSEN HIJA MTUMWA" "TADEA" 63 280 0.86
"KASKAZINI UNGUJA" "KASKAZINI A" "CHAANI" "FATMA HAMAD PWANI" "NLD" 61 280 0.84
"KASKAZINI UNGUJA" "KASKAZINI A" "MATEMWE" "KHERI KHATIB AMEIR" "CCM" 2997 520 53.34
"KASKAZINI UNGUJA" "KASKAZINI A" "MATEMWE" "ALI MATI WADI MUN'GO" "CUF" 1417 520 25.22
"KASKAZINI UNGUJA" "KASKAZINI A" "MATEMWE" "MTWANA PANDU ALI" "JAHAZI ASILIA" 278 520 4.95
"KASKAZINI UNGUJA" "KASKAZINI A" "MATEMWE" "POSHO JUMA KIBOGA" "CHADEMA" 233 520 4.15
"KASKAZINI UNGUJA" "KASKAZINI A" "MATEMWE" "AMEIR MSHINDANI ALI" "NCCR-MAGEUZI" 174 520 3.1
"KASKAZINI UNGUJA" "KASKAZINI A" "MKWAJUNI" "JADDY SIMAI JADDY" "CCM" 3169 344 51.79
"KASKAZINI UNGUJA" "KASKAZINI A" "MKWAJUNI" "HASSAN OMAR NAHODA" "CUF" 2160 344 35.3
"KASKAZINI UNGUJA" "KASKAZINI A" "MKWAJUNI" "HAJI USSI HAJI" "CHADEMA" 168 344 2.75
"KASKAZINI UNGUJA" "KASKAZINI A" "MKWAJUNI" "ALI MATI SULEIMAN" "SAU" 147 344 2.4
"KASKAZINI UNGUJA" "KASKAZINI A" "MKWAJUNI" "MTUMWENI JABIR SEIF" "JAHAZI ASILIA" 96 344 1.57
"KASKAZINI UNGUJA" "KASKAZINI A" "MKWAJUNI" "JUMA ABDALLAH VUAI" "NCCR-MAGEUZI" 35 344 0.57
"KASKAZINI UNGUJA" "KASKAZINI A" "NUNGWI" "YUSSUF HAJI KHAMIS" "CUF" 3688 451 48.23
"KASKAZINI UNGUJA" "KASKAZINI A" "NUNGWI" "AME PANDU AME" "CCM" 3163 451 41.36
"KASKAZINI UNGUJA" "KASKAZINI A" "NUNGWI" "AKALIPO ALI ALI" "CHADEMA" 247 451 3.23
"KASKAZINI UNGUJA" "KASKAZINI A" "NUNGWI" "KHATIBU MAKAME AME" "UPDP" 98 451 1.28
"KASKAZINI UNGUJA" "KASKAZINI A" "TUMBATU" "JUMA OTHMAN ALI" "CCM" 4659 365 53.84
"KASKAZINI UNGUJA" "KASKAZINI A" "TUMBATU" "RASHID KHAMIS RASHID" "CUF" 3506 365 40.52
"KASKAZINI UNGUJA" "KASKAZINI A" "TUMBATU" "MZEE ALLY MZEE" "DP" 123 365 1.42
"KASKAZINI UNGUJA" "KASKAZINI B" "BUMBWINI" "RAMADHAN HAJI SALEH" "CCM" 3645 271 56.24
"KASKAZINI UNGUJA" "KASKAZINI B" "BUMBWINI" "RAMADHANI ALI MBAROUK" "CUF" 2256 271 34.81
"KASKAZINI UNGUJA" "KASKAZINI B" "BUMBWINI" "MWADUWA ALI KHAMIS" "CHADEMA" 179 271 2.76
"KASKAZINI UNGUJA" "KASKAZINI B" "BUMBWINI" "RAYA SULEIMAN MAKUNGU" "AFP" 74 271 1.14
"KASKAZINI UNGUJA" "KASKAZINI B" "BUMBWINI" "ASHA JUMA ALI" "TADEA" 56 271 0.86
"KASKAZINI UNGUJA" "KASKAZINI B" "DONGE" "SADIFA JUMA KHAMIS" "CCM" 6202 149 87.05
"KASKAZINI UNGUJA" "KASKAZINI B" "DONGE" "OTHMAN HABIBU JUMA" "CUF" 614 149 8.62
"KASKAZINI UNGUJA" "KASKAZINI B" "DONGE" "OMAR ALI KHAMIS" "TADEA" 51 149 0.72
"KASKAZINI UNGUJA" "KASKAZINI B" "DONGE" "YAHYA ABDURAHMANI MACHANO" "APPT - MAENDELEO" 45 149 0.63
"KASKAZINI UNGUJA" "KASKAZINI B" "DONGE" "FAKIH HAJI MACHANO" "UPDP" 41 149 0.58
"KASKAZINI UNGUJA" "KASKAZINI B" "DONGE" "KIRANGWE BAKARI KHAMISI" "TLP" 23 149 0.32
"KASKAZINI UNGUJA" "KASKAZINI B" "KITOPE" "SEIF ALI IDDI" "CCM" 5033 397 63.83
"KASKAZINI UNGUJA" "KASKAZINI B" "KITOPE" "ABARANI ALI RASHIDI ALI" "CUF" 2316 397 29.37
"KASKAZINI UNGUJA" "KASKAZINI B" "KITOPE" "CHRISTOPHER MANYEU WAKASABANDEZU" "SAU" 77 397 0.98
"KASKAZINI UNGUJA" "KASKAZINI B" "KITOPE" "MWAJUMA ALI KHAMIS" "DP" 62 397 0.79
"KIGOMA" "MANISPAA YA KIGOMA/UJIJI" "KIGOMA MJINI" "PETER JOSEPH SERUKAMBA" "CCM" 20594 857 47.87
"KIGOMA" "MANISPAA YA KIGOMA/UJIJI" "KIGOMA MJINI" "ALLY KHALFAN MLEH" "CHADEMA" 19414 857 45.12
"KIGOMA" "MANISPAA YA KIGOMA/UJIJI" "KIGOMA MJINI" "FATMA SAADATY KINGUTI" "CUF" 1429 857 3.32
"KIGOMA" "MANISPAA YA KIGOMA/UJIJI" "KIGOMA MJINI" "SHUKURU VENANCE KONDO" "DP" 127 857 0.3
"KIGOMA" "MANISPAA YA KIGOMA/UJIJI" "KIGOMA MJINI" "MALOBE ZENA HEMEDI" "AFP" 88 857 0.2
"KIGOMA" "MANISPAA YA KIGOMA/UJIJI" "KIGOMA MJINI" "BI.ASIA JUMA KHAIRALHA" "APPT - MAENDELEO" 78 857 0.18
"KIGOMA" "MANISPAA YA KIGOMA/UJIJI" "KIGOMA MJINI" "MISEKE MARANDA SHABANI" "CHAUSTA" 74 857 0.17
"KIGOMA" "MANISPAA YA KIGOMA/UJIJI" "KIGOMA MJINI" "KWEZI HAMISI RAMADHANI" "MAKIN" 60 857 0.14
"KIGOMA" "MANISPAA YA KIGOMA/UJIJI" "KIGOMA MJINI" "HAFSA MUSSA RAMADHANI" "NLD" 54 857 0.13
"KIGOMA" "MANISPAA YA KIGOMA/UJIJI" "KIGOMA MJINI" "OMARY HAMIMU TONDA" "JAHAZI ASILIA" 53 857 0.12
"KIGOMA" "MANISPAA YA KIGOMA/UJIJI" "KIGOMA MJINI" "SAIDI CHOMBA BURUANI" "NRA" 43 857 0.1
"KIGOMA" "MANISPAA YA KIGOMA/UJIJI" "KIGOMA MJINI" "MVANO RAMADHANI JUMA" "SAU" 41 857 0.1
"KIGOMA" "MANISPAA YA KIGOMA/UJIJI" "KIGOMA MJINI" "JOHARI RASHIDI SANGO" "TLP" 36 857 0.08
"KIGOMA" "MANISPAA YA KIGOMA/UJIJI" "KIGOMA MJINI" "MANDELA DANIELY NTAONDENGA" "TADEA" 32 857 0.07
"KIGOMA" "MANISPAA YA KIGOMA/UJIJI" "KIGOMA MJINI" "JUMA KHALFANI MILEMBE" "UMD" 28 857 0.07
"KIGOMA" "MANISPAA YA KIGOMA/UJIJI" "KIGOMA MJINI" "DIGIO AHMAD HAMISI" "UPDP" 15 857 0.03
"KIGOMA" "WILAYA YA KASULU" "KASULU MJINI" "MACHALI MOSES JOSEPH" "NCCR-MAGEUZI" 15299 590 44.92
"KIGOMA" "WILAYA YA KASULU" "KASULU MJINI" "NEKA RAPHAEL NEKA" "CCM" 10849 590 31.85
"KIGOMA" "WILAYA YA KASULU" "KASULU MJINI" "LUYAGAZA ISHMAEL JONATHAN" "CHADEMA" 6583 590 19.33
"KIGOMA" "WILAYA YA KASULU" "KASULU MJINI" "KADUGUDA RASHIDI SEIF" "CUF" 274 590 0.8
"KIGOMA" "WILAYA YA KASULU" "KASULU MJINI" "PHARLES GOWE HIBANJE" "APPT - MAENDELEO" 245 590 0.72
"KIGOMA" "WILAYA YA KASULU" "KASULU MJINI" "JUMANNE ISSA NTANKANA" "NRA" 95 590 0.28
"KIGOMA" "WILAYA YA KASULU" "KASULU MJINI" "FATUMA HAMISI MAGULATI" "DP" 89 590 0.26
"KIGOMA" "WILAYA YA KASULU" "KASULU MJINI" "HAMISI RASHIDI MGANI" "SAU" 38 590 0.11
"KIGOMA" "WILAYA YA KASULU" "KASULU VIJIJINI" "BUYOGERA AGRIPINA ZAITUNI" "NCCR-MAGEUZI" 26130 1204 54.58
"KIGOMA" "WILAYA YA KASULU" "KASULU VIJIJINI" "NSANZUGWANKO DANIEL NICODEMUS" "CCM" 18482 1204 38.6
"KIGOMA" "WILAYA YA KASULU" "KASULU VIJIJINI" "THADEO GAUDENCE LUKINISHA" "CHADEMA" 1524 1204 3.18
"KIGOMA" "WILAYA YA KASULU" "KASULU VIJIJINI" "ALLY JUMA KIKALI" "APPT - MAENDELEO" 170 1204 0.36
"KIGOMA" "WILAYA YA KASULU" "KASULU VIJIJINI" "RUHETA DAUDI HUSSEIN" "CUF" 168 1204 0.35
"KIGOMA" "WILAYA YA KASULU" "KASULU VIJIJINI" "NAOMI PETER MBOLEGWA" "SAU" 118 1204 0.25
"KIGOMA" "WILAYA YA KASULU" "KASULU VIJIJINI" "SOTI GIDION JEREMIA" "DP" 82 1204 0.17
"KIGOMA" "WILAYA YA KASULU" "MANYOVU" "OBAMA NTABALIBA ALBERT" "CCM" 20954 1140 44.81
"KIGOMA" "WILAYA YA KASULU" "MANYOVU" "BUDIDA BASILIUS NTIZIRUSHA" "CHADEMA" 16829 1140 35.99
"KIGOMA" "WILAYA YA KASULU" "MANYOVU" "SABUNI SAMSONI SAMA" "NCCR-MAGEUZI" 7313 1140 15.64
"KIGOMA" "WILAYA YA KASULU" "MANYOVU" "MAGARA IBRAHIM BAKARI" "CUF" 329 1140 0.7
"KIGOMA" "WILAYA YA KASULU" "MANYOVU" "DAUSON PHALES NTALUGERA" "DP" 194 1140 0.41
"KIGOMA" "WILAYA YA KIBONDO" "BUYUNGU" "CHIZA CHRISTOPHER KAJORO" "CCM" 17040 1550 50.56
"KIGOMA" "WILAYA YA KIBONDO" "BUYUNGU" "MAWAZO METUSELA ATHANAS" "NCCR-MAGEUZI" 11514 1550 34.16
"KIGOMA" "WILAYA YA KIBONDO" "BUYUNGU" "REVOCATUS SYLIVANUS MASUNZU" "CHADEMA" 3322 1550 9.86
"KIGOMA" "WILAYA YA KIBONDO" "BUYUNGU" "SALUM MASUODI KHAMIS" "CUF" 278 1550 0.82
"KIGOMA" "WILAYA YA KIBONDO" "MUHAMBWE" "MKOSAMALI FELIX FRANCIS" "NCCR-MAGEUZI" 25574 1598 56.46
"KIGOMA" "WILAYA YA KIBONDO" "MUHAMBWE" "JAMAL ABDALLAH JAMIMI" "CCM" 15223 1598 33.61
"KIGOMA" "WILAYA YA KIBONDO" "MUHAMBWE" "NTAGAZWA ARCADO DENNIS" "CHADEMA" 2303 1598 5.08
"KIGOMA" "WILAYA YA KIBONDO" "MUHAMBWE" "ATHUMANI MASUOD KHAMIS" "CUF" 487 1598 1.08
"KIGOMA" "WILAYA YA KIBONDO" "MUHAMBWE" "BAZIYAKA ENOCK ZEFANIA" "SAU" 114 1598 0.25
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KASKAZINI" "ZITTO KABWE ZUBERI" "CHADEMA" 23366 927 48.57
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KASKAZINI" "LEMBO ROBINSON FULGENCE" "CCM" 18352 927 38.15
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KASKAZINI" "OMARY MUSSA NKWARULO" "CUF" 4839 927 10.06
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KASKAZINI" "CHONGERA HARUNA CHONGERA" "CHAUSTA" 264 927 0.55
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KASKAZINI" "MFAUME HAMISI MFAUME" "APPT - MAENDELEO" 108 927 0.22
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KASKAZINI" "AUGUSTINO PETER MBOLEGWA" "SAU" 88 927 0.18
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KASKAZINI" "GERMANI MAULIDI MLETE" "DP" 87 927 0.18
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KASKAZINI" "HAMISI FADHILI KISWAGA" "NRA" 47 927 0.1
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KASKAZINI" "MAUWA SHAURI KAMANA" "JAHAZI ASILIA" 19 927 0.04
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KASKAZINI" "TATU SAIDI HUSSEIN" "UMD" 8 927 0.02
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KUSINI" "KAFULILA DAVID ZACHARIA" "NCCR-MAGEUZI" 23162 1376 40.34
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KUSINI" "KIFU GULAMHUSSEIN SHABANI" "CCM" 20367 1376 35.47
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KUSINI" "MUSLIM HAIDERALI RAJABALI" "CHADEMA" 7676 1376 13.37
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KUSINI" "OPTATUS BEDA LIKWELILE" "CUF" 3468 1376 6.04
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KUSINI" "AZIZI HASSANI MOHAMED" "CHAUSTA" 491 1376 0.86
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KUSINI" "FILIPO JOHN FUMBO" "DP" 345 1376 0.6
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KUSINI" "SELEMANI SAIDI MSANU" "JAHAZI ASILIA" 310 1376 0.54
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KUSINI" "MVANO RASHIDI RAMADHANI" "NRA" 58 1376 0.1
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KUSINI" "MWAJUMA MALIKI ATHUMANI" "UPDP" 57 1376 0.1
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KUSINI" "MWITO JUMA KHAIRALLAH" "SAU" 57 1376 0.1
"KIGOMA" "WILAYA YA KIGOMA" "KIGOMA KUSINI" "ZABIBU MRISHO KALIZA" "UMD" 52 1376 0.09
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI" "NDESAMBURO PHILEMON KIWELU" "CHADEMA" 28697 294 62.31
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI" "SALAKANA JUSTIN ALFRED" "CCM" 16792 294 36.46
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI" "MADONGO MADOGO SEIF" "CUF" 97 294 0.21
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI" "MALISA GODFREY FATAELI" "TLP" 55 294 0.12
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI" "SUNGURA FAUSTIN KALLAGESYE" "NCCR-MAGEUZI" 42 294 0.09
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI" "ISAAC KIRETI KAMASHO" "SAU" 42 294 0.09
"KILIMANJARO" "MANISPAA YA MOSHI" "MOSHI MJINI" "GODLIZEN NDESANJO KITALI" "UDP" 34 294 0.07
"KILIMANJARO" "WILAYA YA HAI" "HAI" "MBOWE FREEMAN AIKAEL" "CHADEMA" 28585 3043 51.63
"KILIMANJARO" "WILAYA YA HAI" "HAI" "FUYA GODWIN KIMBITA" "CCM" 23349 3043 42.17
"KILIMANJARO" "WILAYA YA HAI" "HAI" "HAWA HENRY KIHOGO" "UDP" 258 3043 0.47
"KILIMANJARO" "WILAYA YA HAI" "HAI" "KISSIMBO IBRAHIM PETRO" "TLP" 135 3043 0.24
"KILIMANJARO" "WILAYA YA MOSHI" "MOSHI VIJIJINI" "CHAMI CYRIL AUGUST" "CCM" 31530 1164 58.92
"KILIMANJARO" "WILAYA YA MOSHI" "MOSHI VIJIJINI" "KOMU ANTHONY CALIST" "CHADEMA" 20504 1164 38.32
"KILIMANJARO" "WILAYA YA MOSHI" "MOSHI VIJIJINI" "KIMAMBO ELIAS S.  OBOTE" "DP" 316 1164 0.59
"KILIMANJARO" "WILAYA YA MOSHI" "VUNJO" "MREMA AUGUSTINO LYATONGA" "TLP" 29047 1188 52.71
"KILIMANJARO" "WILAYA YA MOSHI" "VUNJO" "CRISPIN THEOBAZD MEEDA" "CCM" 17498 1188 31.76
"KILIMANJARO" "WILAYA YA MOSHI" "VUNJO" "JOHN EDWARD MREMA" "CHADEMA" 6558 1188 11.9
"KILIMANJARO" "WILAYA YA MOSHI" "VUNJO" "LYIMO STANLEY DAVID" "NLD" 811 1188 1.47
"KILIMANJARO" "WILAYA YA MWANGA" "MWANGA" "MAGHEMBE JUMANNE ABDALLAH" "CCM" 20638 449 78.49
"KILIMANJARO" "WILAYA YA MWANGA" "MWANGA" "MSUYA SHAFII YATERY" "CHADEMA" 4476 449 17.02
"KILIMANJARO" "WILAYA YA MWANGA" "MWANGA" "HALIMA ANASE KAJIA" "CUF" 732 449 2.78
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "SELASINI JOSEPH ROMAN" "CHADEMA" 32010 1673 49.94
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "MRAMBA BASIL PESAMBILI" "CCM" 29931 1673 46.7
"KILIMANJARO" "WILAYA YA ROMBO" "ROMBO" "VICTUSS PETER MERINYO" "MAKIN" 478 1673 0.75
"KILIMANJARO" "WILAYA YA SAME" "SAME MAGHARIBI" "MATHAYO DR. DAVID MATHAYO" "CCM" 22959 439 83.16
"KILIMANJARO" "WILAYA YA SAME" "SAME MAGHARIBI" "ENEZA ELIAKUNDA MSHANA" "CHADEMA" 3989 439 14.45
"KILIMANJARO" "WILAYA YA SAME" "SAME MAGHARIBI" "AWADHI BAKARI MWARABU" "CUF" 168 439 0.61
"KILIMANJARO" "WILAYA YA SAME" "SAME MAGHARIBI" "KIGONTI GRAYSON MNANDI" "DP" 33 439 0.12
"KILIMANJARO" "WILAYA YA SAME" "SAME MAGHARIBI" "MSHANA HALIMA RAJABU" "SAU" 19 439 0.07
"KILIMANJARO" "WILAYA YA SAME" "SAME MASHARIKI" "MALECELA ANNE KILANGO" "CCM" 16212 430 61.18
"KILIMANJARO" "WILAYA YA SAME" "SAME MASHARIKI" "KABOYOKA NAGHENJWA LIVINGSTONE" "CHADEMA" 9684 430 36.54
"KILIMANJARO" "WILAYA YA SAME" "SAME MASHARIKI" "LEA JONH MJEMA" "APPT - MAENDELEO" 125 430 0.47
"KILIMANJARO" "WILAYA YA SAME" "SAME MASHARIKI" "BOND SADICKI ELISANTE" "DP" 24 430 0.09
"KILIMANJARO" "WILAYA YA SAME" "SAME MASHARIKI" "LEONARD NGUI MAKENYA" "TLP" 24 430 0.09
"KILIMANJARO" "WILAYA YA SIHA" "SIHA" "AGGREY DEAISILE MWANRI" "CCM" 15255 566 64.38
"KILIMANJARO" "WILAYA YA SIHA" "SIHA" "TUNI HUMPHREY ABRAHAMU" "CHADEMA" 7758 566 32.74
"KILIMANJARO" "WILAYA YA SIHA" "SIHA" "MMARI LAMECK VEHANKIRA" "SAU" 115 566 0.49
"KUSINI PEMBA" "CHAKECHAKE" "CHAKE CHAKE" "MUSSA HAJI KOMBO" "CUF" 5048 107 70.88
"KUSINI PEMBA" "CHAKECHAKE" "CHAKE CHAKE" "HAMAD BAKAR ALI" "CCM" 1637 107 22.99
"KUSINI PEMBA" "CHAKECHAKE" "CHAKE CHAKE" "ABASS MOHD KHATIB" "UDP" 106 107 1.49
"KUSINI PEMBA" "CHAKECHAKE" "CHAKE CHAKE" "KHAMIS SULEIMAN ALI" "NCCR-MAGEUZI" 73 107 1.02
"KUSINI PEMBA" "CHAKECHAKE" "CHAKE CHAKE" "HAFIDH ABDI SAID" "CHADEMA" 72 107 1.01
"KUSINI PEMBA" "CHAKECHAKE" "CHAKE CHAKE" "MAJID ALI ABDALLA" "JAHAZI ASILIA" 33 107 0.46
"KUSINI PEMBA" "CHAKECHAKE" "CHAKE CHAKE" "ZAGHALULI KASSIM MOHD" "MAKIN" 26 107 0.37
"KUSINI PEMBA" "CHAKECHAKE" "CHAKE CHAKE" "RASHID JUMA ABDALLA" "CHAUSTA" 20 107 0.28
"KUSINI PEMBA" "CHAKECHAKE" "CHONGA" "HAROUB MOHAMED SHAMIS" "CUF" 3107 226 50.8
"KUSINI PEMBA" "CHAKECHAKE" "CHONGA" "ISSA ALLY JUMA" "CCM" 2346 226 38.36
"KUSINI PEMBA" "CHAKECHAKE" "CHONGA" "SALIM SEIF NASSOR" "CHADEMA" 278 226 4.55
"KUSINI PEMBA" "CHAKECHAKE" "CHONGA" "SALHA ALI SULEIMAN" "MAKIN" 58 226 0.95
"KUSINI PEMBA" "CHAKECHAKE" "CHONGA" "MUSSA KOMBO MUSSA" "NCCR-MAGEUZI" 42 226 0.69
"KUSINI PEMBA" "CHAKECHAKE" "CHONGA" "SULEMAN ALI RASHID" "TLP" 30 226 0.49
"KUSINI PEMBA" "CHAKECHAKE" "CHONGA" "SULEIMAN HILALI ABDALLA" "AFP" 29 226 0.47
"KUSINI PEMBA" "CHAKECHAKE" "WAWI" "HAMAD RASHID MOHAMED" "CUF" 5361 212 65.39
"KUSINI PEMBA" "CHAKECHAKE" "WAWI" "DAUD KHAMIS JUMA" "CCM" 2255 212 27.5
"KUSINI PEMBA" "CHAKECHAKE" "WAWI" "ZAINAB MUSSA BAKAR" "CHADEMA" 150 212 1.83
"KUSINI PEMBA" "CHAKECHAKE" "WAWI" "MARYAM SALEH JUMA" "NCCR-MAGEUZI" 81 212 0.99
"KUSINI PEMBA" "CHAKECHAKE" "WAWI" "KOMBO KHAMIS ALI" "MAKIN" 59 212 0.72
"KUSINI PEMBA" "CHAKECHAKE" "WAWI" "SALUM MOHD KOMBO" "UDP" 42 212 0.51
"KUSINI PEMBA" "CHAKECHAKE" "WAWI" "GHARIB MWALIM JUMA" "UPDP" 20 212 0.24
"KUSINI PEMBA" "CHAKECHAKE" "WAWI" "MOHD SEIF MOHD" "TLP" 19 212 0.23
"KUSINI PEMBA" "CHAKECHAKE" "ZIWANI" "NGWALI AHMED JUMA" "CUF" 5147 158 74.75
"KUSINI PEMBA" "CHAKECHAKE" "ZIWANI" "JUMA ALI JUMA" "CCM" 1005 158 14.59
"KUSINI PEMBA" "CHAKECHAKE" "ZIWANI" "NASSOR SULEIMAN OMAR" "NCCR-MAGEUZI" 333 158 4.84
"KUSINI PEMBA" "CHAKECHAKE" "ZIWANI" "MOHAMMED KHATIB KISHORE" "CHADEMA" 91 158 1.32
"KUSINI PEMBA" "CHAKECHAKE" "ZIWANI" "ASHA MSELEM ALI" "JAHAZI ASILIA" 35 158 0.51
"KUSINI PEMBA" "CHAKECHAKE" "ZIWANI" "MASOUD ALI NASSOR" "NLD" 30 158 0.44
"KUSINI PEMBA" "CHAKECHAKE" "ZIWANI" "ZIADA SALEH KHALFANI" "TLP" 20 158 0.29
"KUSINI PEMBA" "CHAKECHAKE" "ZIWANI" "ASSA ALI HAMAD" "UPDP" 19 158 0.28
